08/05/2020 23:21:13 - https://google.com, online=true
08/05/2020 23:21:13 - https://facebook.com, online=true
08/05/2020 23:21:14 - https://twitter.com, online=true
08/05/2020 23:21:23 - http://random-status-code.herokuapp.com, online=false
08/05/2020 23:21:28 - https://google.com, online=true
08/05/2020 23:21:28 - https://facebook.com, online=true
08/05/2020 23:21:28 - https://twitter.com, online=true
08/05/2020 23:21:29 - http://random-status-code.herokuapp.com, online=false
08/05/2020 23:21:34 - https://google.com, online=true
08/05/2020 23:21:34 - https://facebook.com, online=true
08/05/2020 23:21:34 - https://twitter.com, online=true
08/05/2020 23:21:35 - http://random-status-code.herokuapp.com, online=true
08/05/2020 23:21:40 - https://google.com, online=true
08/05/2020 23:21:40 - https://facebook.com, online=true
08/05/2020 23:21:41 - https://twitter.com, online=true
08/05/2020 23:21:41 - http://random-status-code.herokuapp.com, online=true
08/05/2020 23:21:46 - https://google.com, online=true
08/05/2020 23:21:46 - https://facebook.com, online=true
08/05/2020 23:21:47 - https://twitter.com, online=true
08/05/2020 23:21:47 - http://random-status-code.herokuapp.com, online=false
10/05/2020 11:29:22 - https://google.com, online=true
10/05/2020 11:29:22 - https://facebook.com, online=true
10/05/2020 11:29:23 - https://twitter.com, online=true
