08/05/2020 21:50:23 - https://google.com, online=true
08/05/2020 21:50:23 - https://facebook.com, online=true
08/05/2020 21:50:24 - https://twitter.com, online=true
08/05/2020 21:50:24 - http://random-status-code.herokuapp.com, online=true
08/05/2020 21:50:30 - https://google.com, online=true
08/05/2020 21:50:30 - https://facebook.com, online=true
08/05/2020 21:50:30 - https://twitter.com, online=true
08/05/2020 21:50:30 - http://random-status-code.herokuapp.com, online=true
08/05/2020 21:50:36 - https://google.com, online=true
08/05/2020 21:50:36 - https://facebook.com, online=true
08/05/2020 21:50:36 - https://twitter.com, online=true
08/05/2020 21:50:37 - http://random-status-code.herokuapp.com, online=true
08/05/2020 21:50:42 - https://google.com, online=true
08/05/2020 21:50:42 - https://facebook.com, online=true
08/05/2020 21:50:42 - https://twitter.com, online=true
08/05/2020 21:50:43 - http://random-status-code.herokuapp.com, online=false
08/05/2020 21:50:48 - https://google.com, online=true
08/05/2020 21:50:48 - https://facebook.com, online=true
08/05/2020 21:50:48 - https://twitter.com, online=true
08/05/2020 21:50:49 - http://random-status-code.herokuapp.com, online=false
